Industrial Instrumentation[16];8;20090253;EPMN303
Mechanism Design[16];8;20090266;MDPN353
Group Design Project[16];8;20090263;MDPN313
Pre-Calculus[40];9;20090728;MTHP001
Elementary English (Pre-English Language)[37];10;20090729;GENP002
Sheet Metal Processing[17];11;20090265;MDPN343
Finite Element Analysis[17];11;20090268;MDPN363
Tribology[17];11;20090278;MDPN421
Pattern Recognition and Neural Networks[4];11;20090100;CMPN450
Metal Cutting Processes[16];14;20090258;MDPN141
Heat Transfer and Applications[26];14;20090338;CHEN305
Graduation Project-1[20];15;20090479;CEMN480
Instrumentation and Process Control[40];17;20090335;CHEN302
Design and Analysis of Algorithms[17];17;20090080;CMPN302
Machine Intelligence[9];17;20090081;CMPN402
Calculus I[300];17;20090015;MTHN002
Computer Modeling and Simulation[9];18;20090083;CMPN407
Communications -3[23];18;20090057;ELCN406
Seminar-1[37];18;20090317;PCEN280
Architectural Acoustics and Day-lighting[35];18;20090441;ARCN331
Temporary Structures and Form Work Design[20];19;20090621;STRN443
Introduction to Petroleum Industry[16];19;20090348;PEN101
Seminar-2[38];19;20090319;PCEN380
Stress Analysis[30];19;20090257;MDPN161
Thermodynamics[29];19;20090245;MCNN101
Mobile communications[22];19;20090073;ELCN436
Mechanical Design Lab[30];19;20090250;MCNN117
Signal analysis[23];19;20090049;ELCN203
Graduation Project-1[25];19;20090030;ELCN480
Logic Design -1[75];20;20090035;CMPN101
Computer Control Systems[18];20;20090065;ELCN314
Fluid Mechanics[19];20;20090246;MCNN202
Petroleum Exploration Engineering[40];20;20090354;PEN301
Unit Operations[44];20;20090337;CHEN304
Mass Transfer and Separation Processes-1[44];20;20090334;CHEN301
Risk Manag. in Construction Industry[23];20;20090605;STRN421
Financial Management[24];21;20090607;STRN423
Computer Graphics and Man Machine Interfacing[24];21;20090168;CMPN205
Electromagnetics -3[27];21;20090056;ELCN405
Kinematics of Machine Components[20];22;20090259;MDPN251
Laboratory[31];22;20090044;ELCN100
Algebra and Analytic Geometry[304];22;20090014;MTHN001
Estimating and Quantity Surveying[26];22;20090608;STRN426
Construction Material and Quality Control[16];22;20090617;STRN344
Reinforced Concrete Design I[31];22;20090500;STRN303
Urban Planning[19];24;20090518;ARCN211
Ecologies of Construction[27];24;20090440;ARCN330
Reservoir Engineering-1[46];24;20090355;PEN302
Introduction to Building Construction and Technology[65];24;20090414;ARCN105
Organic Chemistry-2[75];25;20090331;CHEN201
Organic Chemistry-1[70];25;20090326;CHEN102
Computer Applications in Petrochemical Engineering[21];26;20090330;CHEN106
Engineering Thermal and Aerodynamics[46];26;20090420;ARCN204
Properties and Strength of Concrete I[27];26;20090690;STRN203
Project Resource Management[26];26;20090616;STRN342
Engineering Graphics[342];26;20090022;MDPN001
Seminar-2[11];26;20090131;CMPN380
Physical Chemistry-1[71];27;20090325;CHEN101
Computer System Consultation[31];27;20090084;CMPN425
Deep Excavation and Side Support[34];27;20090522;PBWN446
Site Planning and Development[53];27;20090424;ARCN208
Chemical Engineering Fundamentals[78];27;20090327;CHEN103
Electrical Engineering[69];28;20090345;INTN201
Architectural Design Skills I[79];28;20090413;ARCN104
Smart Building Information Systems[69];28;20090428;ARCN303
Reservoir Rock and Fluid Properties[72];28;20090351;PEN202
Introduction to the History and Theory of Architecture[67];28;20090410;ARCN101
Electrical Power Engineering[24];28;20090059;EPMN125
Electronics -2[62];28;20090048;ELCN201
Data Structures and Algorithms[80];28;20090036;CMPN102
Modern Physics[89];29;20090062;PHYN102
Building Construction II: Finishing Materials and Detailing[62];29;20090427;ARCN302
Building Technologies II[60];29;20090421;ARCN205
Steel Structures Design II[50];29;20090594;STRN304
Decision Support System[21];29;20090520;GENN242
Introduction to Construction Engineering[27];30;20090598;STRN122
Building Construction I: Construction Documents[60];30;20090418;ARCN202
Drilling Engineering-1[79];30;20090350;PEN201
Int. to Database Manag. Systems[63];30;20090039;CMPN202
Computer Networks[55];31;20090043;CMPN405
Fluid Mechanics[88];31;20090332;CHEN202
Construction Planning and Scheduling[53];31;20090595;STRN322
Construction Equipment[44];31;20090603;STRN325
Building Construction and City Planning[61];32;20090484;ARCN201
Architectural Design: Level I[70];32;20090422;ARCN206
Architecture and Humanities[73];33;20090412;ARCN103
Microprocessor Systems -1[74];33;20090038;CMPN201
Image Processing and Computer Vision[49];33;20090096;CMPN446
Communications -2[40];33;20090054;ELCN316
Electromagnetics -2[44];33;20090052;ELCN305
Discrete Mathematics[31];34;20090061;MTHN104
Circuits -1[86];34;20090046;ELCN102
Humanities and Engineering[214];34;20090001;GENN001
Dynamics of Rigid Bodies[89];34;20090489;MECN101
Surveying for Engineers[84];35;20090491;PBWN202
Communication and Presentation Skills[18];35;20090006;GENN201
Operating Systems[93];35;20090042;CMPN303
Seminar-2[33];35;20090028;ELCN380
Material Science[72];35;20090244;METN132
Economics Strategies in Construction Ind.[44];36;20090597;STRN221
Construction Project Management[90];37;20090599;STRN224
Engineering Materials[100];37;20090407;STRN103
Mechanics, Waves and thermodynamics[353];37;20090019;PHYN001
Introduction to Computers[201];37;20090003;GENN004
Electromagnetics -1[76];38;20090064;ELCN205
Soil Mechanics[49];38;20090404;PBWN302
Steel structures Design I[50];38;20090409;STRN302
Civil Engineering Drawing[88];38;20090485;IHDN104
Structural Analysis-1[163];39;20090405;STRN101
Communications -1[114];40;20090053;ELCN306
Numerical Analysis[96];40;20090034;MTHN201
Fluid Mechanics[95];41;20090486;IHDN201
Mechanics of Materials[72];42;20090408;STRN104
Fundamentals of Reinforced Concrete Design[82];43;20090499;STRN201
Control -1[142];44;20090051;ELCN304
English Language[168];49;20090002;GENN002
Introduction to CAD Systems[138];51;20090403;ARCN106
Civil Engineering[182];52;20090033;CVEN125
Mechanics-1[358];54;20090017;MECN001
Calculus II[46];60;20090016;MTHN003
Fundamentals of Manufacturing Engineering[58];71;20090023;MDPN002
Basic Engineering Design[172];74;20090013;GENN003
Economics[133];79;20090009;GENN221
Risk Management and Environment[89];82;20090008;GENN210
Probability and Statistics[190];83;20090025;MTHN203
Multivariable calculus and Linear Algebra[315];84;20090024;MTHN102
Accounting[103];86;20090007;GENN204
Marketing[111];91;20090011;GENN326
Fundamentals of Management[112];94;20090005;GENN102
Technical Writing[170];97;20090004;GENN101
Selections of life long skills[187];117;20090012;GENN327
Ethics and legislation[194];119;20090010;GENN301
